DATE,OUTPOST_CODE,MESSAGE_TYPE,ITEM,QUANTITY,FAVORS,ASSIGNED_VEHICLE
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Tequila,1,980,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Medikit,1,453,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Tequila,1,900,1
2028-09-25,dff86194-0590-4016-b794-0ab8d962a938,REQUEST,Medikit,1,437,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,169,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,1,810,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Tequila,1,810,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Tequila,1,810,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,1,810,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,149,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,137,1
2028-09-25,1d1b9464-d1ab-4050-8352-868cfcf33c19,REQUEST,Rubbing Alcohol,1,126,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,126,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,124,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,121,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,105,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,104,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,103,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,101,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,100,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,99,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,82,1
2028-09-25,b544defa-b8fa-4130-9f14-65cbde5b3ad4,REQUEST,Tequila,2,810,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medikit,2,405,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,1,80,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,1,79,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medikit,2,391,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Tequila,3,1160,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Medikit,2,360,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,2,130,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,128,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Medikit,3,470,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,124,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,121,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,101,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,100,1
2028-09-25,0a0246be-648a-4b22-883b-7bea76537dcc,REQUEST,Rubbing Alcohol,2,98,1
2028-09-25,f92a03f1-fed0-4d97-8bb6-117d11c5227b,REQUEST,Medikit,3,360,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Medikit,3,360,1
2028-09-25,d8a38737-50f7-4c47-a086-09d5e79f8ccb,REQUEST,Rubbing Alcohol,3,131,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,3,126,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,3,125,1
2028-09-25,3348f946-55fe-484a-93bc-be45ff50d29d,REQUEST,Rubbing Alcohol,2,81,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Medikit,4,402,1
2028-09-25,934f781c-a297-4143-ba48-dcbb41accdc9,REQUEST,Experimental Weaponry,1,594,1
2028-09-25,7da4a39f-dd65-41d9-8e0e-b3587ab72789,REQUEST,Medikit,4,396,1
2028-09-25,3e8085a3-794c-4976-8f38-593a14313854,REQUEST,Rubbing Alcohol,2,79,1
2028-09-25,df8d41a4-2bf4-4bf8-aa62-3695f8126804,REQUEST,Experimental Weaponry,1,558,1
2028-09-25,fdf9982d-cd3a-4205-94b9-f44f4192f821,REQUEST,Experimental Weaponry,1,558,1
